SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
467,Bitcoin,BTC,11/16/2016 23:59,747.6149902,709.0390015,711.1669922,744.197998,141294000,11900441939
468,Bitcoin,BTC,11/17/2016 23:59,755.6450195,739.5109863,744.8759766,740.9769897,108579000,11850398479
469,Bitcoin,BTC,11/18/2016 23:59,752.882019,736.8900146,740.7050171,751.585022,87363104,12021432968
470,Bitcoin,BTC,11/19/2016 23:59,756.2369995,744.46698,751.8330078,751.6160278,110608000,12023262925
471,Bitcoin,BTC,11/20/2016 23:59,755.4799805,717.9439697,751.8790283,731.026001,154116000,11695081878
472,Bitcoin,BTC,11/21/2016 23:59,741.7219849,730.5100098,731.2650146,739.2479858,60802400,11827902946
473,Bitcoin,BTC,11/22/2016 23:59,753.8699951,736.5269775,739.6430054,751.3469849,129906000,12022735372
474,Bitcoin,BTC,11/23/2016 23:59,752.25,738.9240112,751.7410278,744.5939941,76543800,11916054235
475,Bitcoin,BTC,11/24/2016 23:59,746.8319702,733.4899902,744.6199951,740.2890015,85919296,11848658575
476,Bitcoin,BTC,11/25/2016 23:59,741.6489868,734.5910034,740.4420166,741.6489868,67807600,11871816579
477,Bitcoin,BTC,11/26/2016 23:59,742.2139893,729.625,741.5109863,735.382019,54962700,11772895899
478,Bitcoin,BTC,11/27/2016 23:59,739.0180054,731.085022,735.4370117,732.0349731,52601800,11720648987
479,Bitcoin,BTC,11/28/2016 23:59,738.0059814,732.4840088,732.4840088,735.8129883,61888600,11782628755
480,Bitcoin,BTC,11/29/2016 23:59,737.4710083,734.559021,736.3289795,735.6040039,68511104,11780661280
481,Bitcoin,BTC,11/30/2016 23:59,747.9290161,736.2650146,736.2839966,745.690979,84070800,11943536630
482,Bitcoin,BTC,12/1/2016 23:59,758.2750244,746.0460205,746.0460205,756.7739868,80461904,12122431239
483,Bitcoin,BTC,12/2/2016 23:59,781.2960205,757.5449829,757.5449829,777.9439697,127605000,12462935160
484,Bitcoin,BTC,12/3/2016 23:59,778.2479858,764.8560181,778.2479858,771.1550293,69547296,12355811709
485,Bitcoin,BTC,12/4/2016 23:59,773.8720093,768.1610107,771.6380005,773.8720093,60557900,12400766376
486,Bitcoin,BTC,12/5/2016 23:59,773.4680176,751.7130127,773.3939819,758.7000122,106363000,12159115875
487,Bitcoin,BTC,12/6/2016 23:59,765.6220093,758.7199707,758.7199707,764.223999,116218000,12249086971
488,Bitcoin,BTC,12/7/2016 23:59,771.5430298,759.75,764.2109985,768.132019,96426096,12313376414
489,Bitcoin,BTC,12/8/2016 23:59,774.697998,765.9459839,768.0759888,770.8099976,80111904,12357837893
490,Bitcoin,BTC,12/9/2016 23:59,774.5280151,769.6489868,769.9439697,772.7940063,68705296,12390863077
491,Bitcoin,BTC,12/10/2016 23:59,777.09198,772.9099731,773.0230103,774.6500244,53843100,12421967470
492,Bitcoin,BTC,12/11/2016 23:59,774.7979736,765.4119873,774.7520142,769.7310181,57313400,12344888048
493,Bitcoin,BTC,12/12/2016 23:59,781.9219971,770.039978,770.039978,780.0869751,76571000,12512497969
494,Bitcoin,BTC,12/13/2016 23:59,788.460022,777.9619751,780.6469727,780.5560303,81645600,12521776922
495,Bitcoin,BTC,12/14/2016 23:59,782.0339966,776.8389893,780.0050049,781.4810181,75979000,12534369129
496,Bitcoin,BTC,12/15/2016 23:59,781.4349976,777.802002,780.0700073,778.0880127,81580096,12484761985
497,Bitcoin,BTC,12/16/2016 23:59,785.0319824,778.9630127,778.9630127,784.9069824,83608200,12595490539
498,Bitcoin,BTC,12/17/2016 23:59,792.5089722,784.8640137,785.1660156,790.8289795,78989800,12691945028
499,Bitcoin,BTC,12/18/2016 23:59,794.7369995,788.026001,791.0079956,790.5300293,60524400,12688510068
500,Bitcoin,BTC,12/19/2016 23:59,793.6110229,790.3200073,790.6920166,792.7139893,74886400,12725090633
501,Bitcoin,BTC,12/20/2016 23:59,801.3369751,791.4970093,792.2470093,800.8759766,99629296,12857473134
502,Bitcoin,BTC,12/21/2016 23:59,834.2810059,799.4050293,800.6439819,834.2810059,155576000,13395445163
503,Bitcoin,BTC,12/22/2016 23:59,875.7819824,834.1489868,834.1799927,864.539978,200027008,13882988216
504,Bitcoin,BTC,12/23/2016 23:59,925.1170044,864.677002,864.8880005,921.9840088,275564000,14807189352
505,Bitcoin,BTC,12/24/2016 23:59,923.4790039,886.335022,922.1799927,898.8220215,137727008,14436754927
506,Bitcoin,BTC,12/25/2016 23:59,899.6519775,862.4240112,899.6519775,896.1829834,143664992,14396194094
507,Bitcoin,BTC,12/26/2016 23:59,913.184021,896.8980103,896.9050293,907.6099854,123771000,14581389977
508,Bitcoin,BTC,12/27/2016 23:59,940.0479736,904.2550049,908.3540039,933.197998,167308000,14994286713
509,Bitcoin,BTC,12/28/2016 23:59,975.9210205,934.8309937,934.8309937,975.9210205,236630000,15682769405
510,Bitcoin,BTC,12/29/2016 23:59,979.3969727,954.5029907,975.125,973.4970093,199320000,15645617392
511,Bitcoin,BTC,12/30/2016 23:59,972.5349731,934.8330078,972.5349731,961.2379761,187474000,15450507055
512,Bitcoin,BTC,12/31/2016 23:59,963.742981,947.2360229,960.6270142,963.742981,99135104,15492554222
513,Bitcoin,BTC,1/1/2017 23:59,1003.080017,958.6989746,963.65802,998.3250122,147775008,16050407461
514,Bitcoin,BTC,1/2/2017 23:59,1031.390015,996.7020264,998.6170044,1021.75,222184992,16429024775
515,Bitcoin,BTC,1/3/2017 23:59,1044.079956,1021.599976,1021.599976,1043.839966,185168000,16786368910
516,Bitcoin,BTC,1/4/2017 23:59,1159.420044,1044.400024,1044.400024,1154.72998,344945984,18571869009
517,Bitcoin,BTC,1/5/2017 23:59,1191.099976,910.4169922,1156.72998,1013.380005,510199008,16300254795
518,Bitcoin,BTC,1/6/2017 23:59,1046.810059,883.9439697,1014.23999,902.2009888,351876000,14513695758
519,Bitcoin,BTC,1/7/2017 23:59,908.585022,823.5560303,903.4869995,908.585022,279550016,14618030536
